Last updated,States,Total Confirmed Cases,Active,Cured/Discharged/Migrated,Death,last_confirmed_covid_cases,last_cured_discharged,last_death,last_active_covid_cases,key
"01 Jan 2023, 08:00 IST (GMT+5:30)",Puducherry,175516,11,173530,1975,175512,173530,1975,7,"01 Jan 2023, 08:00 IST (GMT+5:30)Puducherry"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Punjab,785439,1265,764885,19289,785434,764878,19289,1267,"01 Jan 2023, 08:00 IST (GMT+5:30)Punjab"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Rajasthan,1315481,68,1305760,9653,1315466,1305740,9653,73,"01 Jan 2023, 08:00 IST (GMT+5:30)Rajasthan"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Sikkim,44319,0,43820,499,44319,43819,499,1,"01 Jan 2023, 08:00 IST (GMT+5:30)Sikkim"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Tamil Nadu,3594430,82,3556299,38049,3594415,3556292,38049,74,"01 Jan 2023, 08:00 IST (GMT+5:30)Tamil Nadu"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Telengana,841350,64,837175,4111,841339,837162,4111,66,"01 Jan 2023, 08:00 IST (GMT+5:30)Telengana"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Tripura,108034,0,107094,940,108034,107094,940,0,"01 Jan 2023, 08:00 IST (GMT+5:30)Tripura"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Uttar Pradesh,2128121,50,2104438,23633,2128114,2104432,23633,49,"01 Jan 2023, 08:00 IST (GMT+5:30)Uttar Pradesh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Uttarakhand,449394,32,441611,7751,449389,441610,7751,28,"01 Jan 2023, 08:00 IST (GMT+5:30)Uttarakhand"
"01 Jan 2023, 08:00 IST (GMT+5:30)",West Bengal,2118620,58,2097030,21532,2118617,2097026,21532,59,"01 Jan 2023, 08:00 IST (GMT+5:30)West Bengal"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Andaman and Nicobar,10747,6,10612,129,10747,10612,129,6,"03 Jan 2023, 08:00 IST (GMT+5:30)Andaman and Nicobar"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Andhra Pradesh,2339069,2,2324334,14733,2339069,2324333,14733,3,"03 Jan 2023, 08:00 IST (GMT+5:30)Andhra Pradesh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Arunachal Pradesh,66890,0,66594,296,66890,66594,296,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Arunachal Pradesh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Assam,746100,0,738065,8035,746100,738065,8035,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Assam"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Bihar,851397,18,839077,12302,851395,839075,12302,18,"03 Jan 2023, 08:00 IST (GMT+5:30)Bihar"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Chandigarh,99351,6,98164,1181,99351,98163,1181,7,"03 Jan 2023, 08:00 IST (GMT+5:30)Chandigarh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Chhattisgarh,1177758,9,1163603,14146,1177758,1163603,14146,9,"03 Jan 2023, 08:00 IST (GMT+5:30)Chhattisgarh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,11591,11587,4,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Dadra and Nagar Haveli and Daman and Diu"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Delhi,2007237,32,1980684,26521,2007233,1980670,26521,42,"03 Jan 2023, 08:00 IST (GMT+5:30)Delhi"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Goa,259085,17,255055,4013,259084,255053,4013,18,"03 Jan 2023, 08:00 IST (GMT+5:30)Goa"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Gujarat,1277578,36,1266499,11043,1277576,1266490,11043,43,"03 Jan 2023, 08:00 IST (GMT+5:30)Gujarat"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Haryana,1056620,42,1045864,10714,1056618,1045860,10714,44,"03 Jan 2023, 08:00 IST (GMT+5:30)Haryana"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Himachal Pradesh,312655,16,308426,4213,312652,308424,4213,15,"03 Jan 2023, 08:00 IST (GMT+5:30)Himachal Pradesh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Jammu and Kashmir,479426,23,474618,4785,479420,474615,4785,20,"03 Jan 2023, 08:00 IST (GMT+5:30)Jammu and Kashmir"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Jharkhand,442571,2,437238,5331,442571,437238,5331,2,"03 Jan 2023, 08:00 IST (GMT+5:30)Jharkhand"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Karnataka,4072091,295,4031488,40308,4072074,4031440,40308,326,"03 Jan 2023, 08:00 IST (GMT+5:30)Karnataka"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Kerala,6828566,1435,6755573,71558,6828520,6755518,71558,1444,"03 Jan 2023, 08:00 IST (GMT+5:30)Kerala"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Ladakh,29412,0,29181,231,29412,29181,231,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Ladakh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Lakshadweep,11415,0,11363,52,11415,11363,52,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Lakshadweep"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Maharashtra,8136687,159,7988111,148417,8136679,7988101,148417,161,"03 Jan 2023, 08:00 IST (GMT+5:30)Maharashtra"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Manipur,139923,1,137773,2149,139923,137773,2149,1,"03 Jan 2023, 08:00 IST (GMT+5:30)Manipur"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Meghalaya,96783,1,95158,1624,96783,95158,1624,1,"03 Jan 2023, 08:00 IST (GMT+5:30)Meghalaya"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Mizoram,238964,0,238238,726,238964,238238,726,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Mizoram"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Madhya Pradesh,1054920,5,1044139,10776,1054919,1044138,10776,5,"03 Jan 2023, 08:00 IST (GMT+5:30)Madhya Pradesh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Nagaland,35986,0,35204,782,35986,35204,782,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Nagaland"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Odisha,1336566,88,1327273,9205,1336564,1327271,9205,88,"03 Jan 2023, 08:00 IST (GMT+5:30)Odisha"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Puducherry,175521,16,173530,1975,175521,173530,1975,16,"03 Jan 2023, 08:00 IST (GMT+5:30)Puducherry"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Punjab,785449,1255,764905,19289,785443,764894,19289,1260,"03 Jan 2023, 08:00 IST (GMT+5:30)Punjab"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Rajasthan,1315492,48,1305791,9653,1315492,1305760,9653,79,"03 Jan 2023, 08:00 IST (GMT+5:30)Rajasthan"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Sikkim,44319,0,43820,499,44319,43820,499,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Sikkim"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Tamil Nadu,3594456,89,3556318,38049,3594444,3556309,38049,86,"03 Jan 2023, 08:00 IST (GMT+5:30)Tamil Nadu"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Telengana,841371,64,837196,4111,841357,837184,4111,62,"03 Jan 2023, 08:00 IST (GMT+5:30)Telengana"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Tripura,108034,0,107094,940,108034,107094,940,0,"03 Jan 2023, 08:00 IST (GMT+5:30)Tripura"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Uttar Pradesh,2128126,51,2104442,23633,2128123,2104441,23633,49,"03 Jan 2023, 08:00 IST (GMT+5:30)Uttar Pradesh"
"03 Jan 2023, 08:00 IST (GMT+5:30)",Uttarakhand,449398,35,441611,7752,449397,441611,7752,34,"03 Jan 2023, 08:00 IST (GMT+5:30)Uttarakhand"
"03 Jan 2023, 08:00 IST (GMT+5:30)",West Bengal,2118626,55,2097039,21532,2118622,2097035,21532,55,"03 Jan 2023, 08:00 IST (GMT+5:30)West Bengal"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Andaman and Nicobar,10747,5,10613,129,10747,10612,129,6,"04 Jan 2023, 08:00 IST (GMT+5:30)Andaman and Nicobar"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Andhra Pradesh,2339071,4,2324334,14733,2339069,2324334,14733,2,"04 Jan 2023, 08:00 IST (GMT+5:30)Andhra Pradesh"
